"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D4ads_v7","linux","same-vendor","recommended","Standard_D4as_v7","0.2008","0.1599","29.857","20.368526","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 20.4% lower PAYG price."
"uksouth","Standard_D4ads_v7","linux","prefer-same-vendor","recommended","Standard_D4as_v7","0.2008","0.1599","29.857","20.368526","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 20.4% lower PAYG price."
"uksouth","Standard_D4ads_v7","linux","any-compatible","recommended","Standard_D4as_v7","0.2008","0.1599","29.857","20.368526","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 20.4% lower PAYG price."
"uksouth","Standard_D4alds_v6","linux","same-vendor","recommended","Standard_B4als_v2","0.1682","0.1144","39.274","31.985731","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 32.0% lower PAYG price."
"uksouth","Standard_D4alds_v6","linux","prefer-same-vendor","recommended","Standard_B4als_v2","0.1682","0.1144","39.274","31.985731","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 32.0% lower PAYG price."
"uksouth","Standard_D4alds_v6","linux","any-compatible","recommended","Standard_B4als_v2","0.1682","0.1144","39.274","31.985731","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 32.0% lower PAYG price."
"uksouth","Standard_D4alds_v7","linux","same-vendor","recommended","Standard_D4als_v7","0.1682","0.1417","19.345","15.755054","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 15.8% lower PAYG price."
"uksouth","Standard_D4alds_v7","linux","prefer-same-vendor","recommended","Standard_D4als_v7","0.1682","0.1417","19.345","15.755054","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 15.8% lower PAYG price."
"uksouth","Standard_D4alds_v7","linux","any-compatible","recommended","Standard_D4als_v7","0.1682","0.1417","19.345","15.755054","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 15.8% lower PAYG price."
"uksouth","Standard_D4als_v6","linux","same-vendor","recommended","Standard_B4als_v2","0.1417","0.1144","19.929","19.266055","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.3% lower PAYG price."
"uksouth","Standard_D4als_v6","linux","prefer-same-vendor","recommended","Standard_B4als_v2","0.1417","0.1144","19.929","19.266055","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.3% lower PAYG price."
"uksouth","Standard_D4als_v6","linux","any-compatible","recommended","Standard_B4als_v2","0.1417","0.1144","19.929","19.266055","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.3% lower PAYG price."
"uksouth","Standard_D4als_v7","linux","same-vendor","recommended","Standard_D4ls_v6","0.1417","0.1606","-13.797","-13.338038","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D4als_v7","linux","prefer-same-vendor","recommended","Standard_D4ls_v6","0.1417","0.1606","-13.797","-13.338038","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D4als_v7","linux","any-compatible","recommended","Standard_D4ls_v6","0.1417","0.1606","-13.797","-13.338038","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D4as_v4","linux","same-vendor","source-price-missing","Standard_D4ads_v5","","0.3212","","","GBP","High","same usable CPU and memory, AMD/x64 preserved, temporary storage requirement preserved, Premium SSD supported, newer CPU generation and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D4as_v4","linux","prefer-same-vendor","source-price-missing","Standard_D4ads_v5","","0.3212","","","GBP","High","same usable CPU and memory, AMD/x64 preserved, temporary storage requirement preserved, Premium SSD supported, newer CPU generation and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D4as_v4","linux","any-compatible","source-price-missing","Standard_D4ads_v5","","0.3212","","","GBP","High","same usable CPU and memory, AMD/x64 preserved, temporary storage requirement preserved, Premium SSD supported, newer CPU generation and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","Standard_D4as_v5","linux","same-vendor","recommended","Standard_B4as_v2","0.2909","0.1288","118.333","55.723616","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 55.7% lower PAYG price."
"uksouth","Standard_D4as_v5","linux","prefer-same-vendor","recommended","Standard_B4as_v2","0.2909","0.1288","118.333","55.723616","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 55.7% lower PAYG price."
"uksouth","Standard_D4as_v5","linux","any-compatible","recommended","Standard_B4as_v2","0.2909","0.1288","118.333","55.723616","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 55.7% lower PAYG price."
"uksouth","Standard_D4as_v6","linux","same-vendor","recommended","Standard_B4as_v2","0.1599","0.1288","22.703","19.449656","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.4% lower PAYG price."
"uksouth","Standard_D4as_v6","linux","prefer-same-vendor","recommended","Standard_B4as_v2","0.1599","0.1288","22.703","19.449656","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.4% lower PAYG price."
"uksouth","Standard_D4as_v6","linux","any-compatible","recommended","Standard_B4as_v2","0.1599","0.1288","22.703","19.449656","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.4% lower PAYG price."
"uksouth","Standard_D4as_v7","linux","same-vendor","recommended","Standard_D4s_v6","0.1599","0.1765","-12.118","-10.381488","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.4% higher PAYG price."
"uksouth","Standard_D4as_v7","linux","prefer-same-vendor","recommended","Standard_D4s_v6","0.1599","0.1765","-12.118","-10.381488","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.4% higher PAYG price."
"uksouth","Standard_D4as_v7","linux","any-compatible","recommended","Standard_D4s_v6","0.1599","0.1765","-12.118","-10.381488","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.4% higher PAYG price."
